,$\mu$,$\sigma$,$\frac{\sigma}{\mu}$,$\mathrm{PE_{st}} [\%]$,$\frac{\Delta\mu}{\mu}/year$ [\%],median change per annum (%),$\mathrm{TAI_{p}}$ [\%]
Femoral neck BMD (g/cm2),0.849,0.121,0.143,,-0.538,-0.603,0.000
Tibia: Tot.vBMD [mg HA/cmm],0.266,0.036,0.135,0.427,-0.544,-0.753,1.021
Tibia: Ct.vBMD [mg HA/cmm],0.865,0.032,0.037,0.37,-0.477,-0.657,1.013
Tibia: Tb.BV/TV [1],0.286,0.044,0.153,0.654,-0.493,-0.367,3.207
Tibia: Relative cortical thickness [-],0.065,0.012,0.179,1.315,-0.223,-1.024,2.312
Tibia: y.Stress [MPa],10.988,2.279,0.207,3.514,-0.125,-1.368,4.625
Tibia: Tb.DA,1.726,0.071,0.041,1.582,-0.109,-0.192,14.822
Tibia: Fmax at failure [N],11.794,3.071,0.26,1.57,-0.78,-0.905,3.122
Tibia: Ct.Th [mm],1.096,0.159,0.145,1.388,-0.233,-0.874,2.860
Tibia: Ct.Po [1],0.015,0.006,0.427,5.176,2.798,1.142,8.158
Tibia: Tb.vBMD [mg HA/cmm],0.197,0.031,0.158,0.509,-0.527,-0.410,2.235
Tibia: Tb.N [1/mm],1.59,0.155,0.098,2.027,-0.244,0.197,18.518
Tibia: Tb.Sp [mm],0.591,0.069,0.116,1.561,0.401,-0.078,36.215
Tibia: Tb.Th [mm],0.251,0.018,0.073,0.605,-0.148,-0.036,30.175
Radius: Tot.vBMD [mg HA/cmm],0.297,0.048,0.162,0.591,-0.501,-1.178,0.903
Radius: Ct.vBMD [mg HA/cmm],0.926,0.04,0.043,1.247,-0.245,-0.414,5.424
Radius: Tb.BV/TV [1],0.209,0.045,0.215,3.7,-0.463,-0.479,13.916
Radius: Relative cortical thickness [-],0.113,0.021,0.19,3.21,-0.349,-0.910,6.347
Radius: y.Stress [MPa],13.656,3.959,0.29,8.243,-0.161,-1.320,11.243
Radius: Tb.DA,1.822,0.103,0.056,1.567,-0.156,-0.046,61.731
Radius: Fmax at failure [N],4.069,1.188,0.292,3.29,-0.969,-1.611,3.677
Radius: Ct.Th [mm],1.057,0.154,0.146,1.843,-0.31,-0.785,4.227
Radius: Ct.Po [1],0.003,0.002,0.621,11.262,5.3,3.047,6.654
Radius: Tb.vBMD [mg HA/cmm],0.145,0.031,0.213,3.314,-0.483,-0.573,10.406
Radius: Tb.N [1/mm],1.456,0.177,0.121,2.799,-0.422,-0.533,9.460
Radius: Tb.Sp [mm],0.655,0.094,0.143,2.866,0.803,0.576,8.958
Radius: Tb.Th [mm],0.215,0.012,0.054,1.96,0.078,-0.001,2468.193
