,$\mu$,$\sigma$,$\frac{\sigma}{\mu}$,$\mathrm{PE_{st}} [\%]$,$\frac{\Delta\mu}{\mu}/year$ [\%],median change per annum (%),$\mathrm{TAI_{p}}$ [\%]
Femoral neck BMD (g/cm2),0.95,0.164,0.173,,-0.497,-0.418378020744398,0
Tibia: Tot.vBMD [mg HA/cmm],0.3,0.047,0.157,0.427,-0.435,-0.59088809067282,1.30075391962093
Tibia: Ct.vBMD [mg HA/cmm],0.813,0.038,0.047,0.37,-0.196,-0.591260883909776,1.12640632608064
Tibia: Tb.BV/TV [1],0.347,0.05,0.143,0.654,-0.475,-0.298999091249375,3.93713571195497
Tibia: Relative cortical thickness [-],0.07,0.021,0.296,1.315,-0.219,-1.43974682964739,1.64403904301683
Tibia: y.Stress [MPa],12.956,3.184,0.246,3.514,-0.263,-1.40780761747069,4.49294344021525
Tibia: Tb.DA,1.687,0.083,0.049,1.582,-0.123,-0.0655758955665872,43.424492725509
Tibia: Fmax at failure [N],17.999,4.486,0.249,1.57,-0.619,-0.947517951651717,2.98252924398288
Tibia: Ct.Th [mm],1.314,0.323,0.246,1.388,-0.159,-1.27448996538711,1.96031359041822
Tibia: Ct.Po [1],0.028,0.01,0.379,5.176,0.308,0.393063018879794,23.7030693616314
Tibia: Tb.vBMD [mg HA/cmm],0.238,0.036,0.151,0.509,-0.494,-0.342313283940666,2.67649560499909
Tibia: Tb.N [1/mm],1.704,0.177,0.104,2.027,-0.218,-0.0666841251157249,54.7146715004231
Tibia: Tb.Sp [mm],0.545,0.068,0.124,1.561,0.38,0.317755995291489,8.84263410174991
Tibia: Tb.Th [mm],0.275,0.024,0.089,0.605,-0.173,-0.0470111813407042,23.1647018633225
Radius: Tot.vBMD [mg HA/cmm],0.335,0.051,0.153,0.591,-0.377,-0.584623579268974,1.8196323886392
Radius: Ct.vBMD [mg HA/cmm],0.887,0.035,0.04,1.247,-0.076,-0.229093750884213,9.79773560534374
Radius: Tb.BV/TV [1],0.291,0.05,0.172,3.7,-0.56,-0.486832263851175,13.6802765439473
Radius: Relative cortical thickness [-],0.115,0.025,0.214,3.21,-0.194,-0.61993580025703,9.3203199389427
Radius: y.Stress [MPa],16.424,4.285,0.261,8.243,-0.137,-1.12593767768516,13.1778164049937
Radius: Tb.DA,1.803,0.108,0.06,1.567,-0.198,-0.086556402038481,32.5868443416355
Radius: Fmax at failure [N],6.664,1.83,0.275,3.29,-0.559,-0.71017686212557,8.33876787012656
Radius: Ct.Th [mm],1.226,0.207,0.169,1.843,-0.081,-0.587927893960384,5.64252867414305
Radius: Ct.Po [1],0.007,0.006,0.776,11.262,1.571,2.36705191993319,8.56407070300856
Radius: Tb.vBMD [mg HA/cmm],0.199,0.034,0.17,3.314,-0.524,-0.547997927869255,10.885442620548
Radius: Tb.N [1/mm],1.583,0.234,0.148,2.799,-0.19,-0.442166468605389,11.3943511272817
Radius: Tb.Sp [mm],0.568,0.072,0.127,2.866,0.493,0.656814312220847,7.85427464659967
Radius: Tb.Th [mm],0.242,0.017,0.069,1.96,-0.062,0.0826700570061985,42.6756691329664
